page,player,position,age,nationality,club_departed,club_departed_country,club_departed_competition,club_joined,club_joined_country,club_joined_competition,transfer_date,market_value,fee
7,Alessandro Romano,Defensive Midfield,19,"Switzerland, Italy",Roma U20,Italy,Primavera 1,Spezia Calcio,Italy,Serie B,16/01/2026,€500k,loan transfer
7,Justin Kalumba,Right Winger,21,"France, DR Congo",Angers SCO,France,Ligue 1,RCD Mallorca,Spain,LaLiga,16/01/2026,€800k,free transfer
7,Aleksandr Troshechkin,Defensive Midfield,29,Russia,Pari NN,Russia,Premier Liga,Rotor Volgograd,Russia,1.Division,16/01/2026,€600k,free transfer
8,Lance Duijvestijn,Attacking Midfield,27,Netherlands,Sparta R.,Netherlands,Eredivisie,Fortuna Sittard,Netherlands,Eredivisie,16/01/2026,€800k,loan transfer
8,Miliano Jonathans,Right Winger,21,"Indonesia, Netherlands",Utrecht,Netherlands,Eredivisie,Excelsior,Netherlands,Eredivisie,16/01/2026,€900k,loan transfer
8,Shion Shinkawa,Attacking Midfield,18,Japan,Sagan Tosu,Japan,J2/J3 Special Season,Sint-Truiden,Belgium,Jupiler Pro League,16/01/2026,€700k,€700k
8,Donyell Malen,Centre-Forward,27,"Netherlands, Suriname",Aston Villa,England,Premier League,Roma,Italy,Serie A,16/01/2026,€25.00m,Loan fee:€2.00m
8,Adrián Luna,Attacking Midfield,33,Uruguay,Kerala Blasters,India,Indian Super League,Persik,Indonesia,Super League,16/01/2026,€600k,loan transfer
8,Emerson Negueba,Right Winger,25,Brazil,Cuiabá-MT,Brazil,Série B,Jeju SK,"Korea, South",K League 1,16/01/2026,€1.00m,?
8,Jun-soo Byeon,Centre-Back,24,"Korea, South",Gwangju FC,"Korea, South",K League 1,Jeonbuk Hyundai,"Korea, South",K League 1,16/01/2026,€500k,?
8,Péter Baráth,Defensive Midfield,23,Hungary,Raków,Poland,Ekstraklasa,Sigma Olomouc,Czech Republic,Chance Liga,16/01/2026,€1.50m,€2.00m
8,Eduard Sobol,Left-Back,30,Ukraine,R. Strasbourg,France,Ligue 1,Jablonec,Czech Republic,Chance Liga,16/01/2026,€700k,free transfer
8,Vitor Gabriel,Centre-Forward,26,Brazil,Gangwon FC,"Korea, South",K League 1,Bucheon FC,"Korea, South",K League 1,16/01/2026,€500k,?
8,David Jurásek,Left-Back,25,Czech Republic,Benfica,Portugal,Liga Portugal,Slavia Praha,Czech Republic,Chance Liga,16/01/2026,€4.50m,€3.00m
8,Emmanuel Fully,Left-Back,19,Liberia,Slavia Prague B,Czech Republic,ChNL,Teplice,Czech Republic,Chance Liga,16/01/2026,€500k,loan transfer
8,Joao Grimaldo,Left Winger,22,Peru,Partizan,Serbia,Super liga Srbije,Sparta Prague,Czech Republic,Chance Liga,16/01/2026,€700k,€1.30m
8,Oberdan,Defensive Midfield,30,Brazil,Pohang Steelers,"Korea, South",K League 1,Jeonbuk Hyundai,"Korea, South",K League 1,16/01/2026,€1.20m,?
8,Mihael Zaper,Defensive Midfield,27,Croatia,Hajduk Split,Croatia,SuperSport HNL,NK Radomlje,Slovenia,Prva Liga,16/01/2026,€850k,loan transfer
8,Hrvoje Babec,Defensive Midfield,26,Croatia,NK Osijek,Croatia,SuperSport HNL,FC Seoul,"Korea, South",K League 1,16/01/2026,€800k,?
8,Bruno Mota,Centre-Forward,29,Brazil,FC Anyang,"Korea, South",K League 1,Jeonbuk Hyundai,"Korea, South",K League 1,16/01/2026,€600k,loan transfer
8,Tomas Jelinek,Central Midfield,20,Czech Republic,Slavia Prague B,Czech Republic,ChNL,Pardubice,Czech Republic,Chance Liga,16/01/2026,€600k,loan transfer
8,Martin Jedlicka,Goalkeeper,27,Czech Republic,Viktoria Plzeň,Czech Republic,Chance Liga,Banik Ostrava,Czech Republic,Chance Liga,16/01/2026,€2.50m,loan transfer
8,Lukas Vorlicky,Left Winger,24,Czech Republic,Slavia Praha,Czech Republic,Chance Liga,Zbrojovka Brno,Czech Republic,ChNL,16/01/2026,€500k,loan transfer
8,Kevin-Prince Milla,Centre-Forward,22,Cameroon,Sparta Prague,Czech Republic,Chance Liga,Dukla Prague,Czech Republic,Chance Liga,16/01/2026,€500k,loan transfer
8,Bandeira,Right-Back,24,Portugal,Kryvbas,Ukraine,Premier Liga,Cheongju FC,"Korea, South",K League 2,16/01/2026,€700k,free transfer
8,Ji-su Park,Centre-Back,31,"Korea, South",WH Three Towns,China,Super League,Jeonbuk Hyundai,"Korea, South",K League 1,16/01/2026,€550k,free transfer
8,Iker Undabarrena,Central Midfield,30,Spain,Without Club,,,Incheon Utd.,"Korea, South",K League 1,16/01/2026,€500k,-
8,Abdallah Gning,Centre-Forward,27,Senegal,Karvina,Czech Republic,Chance Liga,Banik Ostrava,Czech Republic,Chance Liga,16/01/2026,€650k,€825k
9,Fessin,Right Winger,27,Brazil,Busan IPark,"Korea, South",K League 2,Suwon Bluewings,"Korea, South",K League 2,16/01/2026,€550k,?
9,Cristian Renato,Centre-Forward,25,Brazil,Mirassol-SP,Brazil,Série A,Busan IPark,"Korea, South",K League 2,16/01/2026,€1.20m,-
9,Vlasiy Sinyavskiy,Left-Back,29,Estonia,Bohemians 1905,Czech Republic,Chance Liga,Banik Ostrava,Czech Republic,Chance Liga,16/01/2026,€750k,?
9,Chang-rae Ha,Centre-Back,31,"Korea, South",Nagoya Grampus,Japan,,Daejeon Hana C.,"Korea, South",K League 1,16/01/2026,€800k,?
9,Marko Regza,Centre-Forward,27,Latvia,Riga,Latvia,Virsliga,Hradec Kralove,Czech Republic,Chance Liga,16/01/2026,€550k,free transfer
9,Matyas Vojta,Centre-Forward,21,Czech Republic,Mlada Boleslav,Czech Republic,Chance Liga,Sparta Prague,Czech Republic,Chance Liga,16/01/2026,€2.20m,€4.00m
9,Seung-sub Kim,Left Winger,29,"Korea, South",Jeju SK,"Korea, South",K League 1,Jeonbuk Hyundai,"Korea, South",K League 1,16/01/2026,€550k,?
9,Alexandr Sojka,Central Midfield,22,Czech Republic,Hradec Kralove,Czech Republic,Chance Liga,Viktoria Plzeň,Czech Republic,Chance Liga,16/01/2026,€800k,€410k
9,Dominik Hollý,Central Midfield,22,Slovakia,Sparta Prague,Czech Republic,Chance Liga,Jablonec,Czech Republic,Chance Liga,16/01/2026,€750k,loan transfer
9,Vojtech Sychra,Left Midfield,24,Czech Republic,Pardubice,Czech Republic,Chance Liga,Slovan Liberec,Czech Republic,Chance Liga,16/01/2026,€500k,?
9,Adam Kadlec,Right-Back,22,Czech Republic,Bohemians 1905,Czech Republic,Chance Liga,Viktoria Plzeň,Czech Republic,Chance Liga,16/01/2026,€500k,?
9,Won-sang Um,Right Winger,27,"Korea, South",Ulsan HD,"Korea, South",K League 1,Daejeon Hana C.,"Korea, South",K League 1,16/01/2026,€800k,free transfer
9,Gustav Ludwigson,Left Winger,32,Sweden,Ulsan HD,"Korea, South",K League 1,Daejeon Hana C.,"Korea, South",K League 1,16/01/2026,€850k,free transfer
9,Dario Grgic,Attacking Midfield,22,Serbia,Zelez. Pancevo,Serbia,Super liga Srbije,Sigma Olomouc,Czech Republic,Chance Liga,16/01/2026,€1.80m,€400k
9,Reis,Centre-Forward,33,Brazil,Gwangju FC,"Korea, South",K League 1,Suwon Bluewings,"Korea, South",K League 2,16/01/2026,€550k,?
9,Fabijan Krivak,Attacking Midfield,20,Croatia,NK Lokomotiva,Croatia,SuperSport HNL,Sigma Olomouc,Czech Republic,Chance Liga,16/01/2026,€1.50m,?
9,Kento Nishiya,Defensive Midfield,26,Japan,Sagan Tosu,Japan,J2/J3 Special Season,Pohang Steelers,"Korea, South",K League 1,16/01/2026,€600k,loan transfer
9,Patrick William,Centre-Back,28,Brazil,Kyoto Sanga,Japan,,Bucheon FC,"Korea, South",K League 1,16/01/2026,€650k,free transfer
9,Alan Cariús,Left Winger,28,Brazil,Without Club,,,Seoul E-Land,"Korea, South",K League 2,16/01/2026,€500k,-
9,Sung-yun Gu,Goalkeeper,31,"Korea, South",Seoul E-Land,"Korea, South",K League 2,FC Seoul,"Korea, South",K League 1,16/01/2026,€500k,?
9,Michal Hlavaty,Central Midfield,27,Czech Republic,Slovan Liberec,Czech Republic,Chance Liga,Pardubice,Czech Republic,Chance Liga,16/01/2026,€800k,?
9,Danijel Sturm,Left Winger,27,Slovenia,NK Celje,Slovenia,Prva Liga,Sigma Olomouc,Czech Republic,Chance Liga,16/01/2026,€800k,€1.90m
9,David Krcik,Centre-Back,26,Slovakia,Karvina,Czech Republic,Chance Liga,Viktoria Plzeň,Czech Republic,Chance Liga,16/01/2026,€800k,?
9,Hamidou Kante,Left-Back,21,Senegal,Artis Brno,Czech Republic,ChNL,Slavia Praha,Czech Republic,Chance Liga,16/01/2026,€1.00m,€2.00m
9,Diogo Oliveira,Centre-Forward,29,Brazil,Paysandu,Brazil,,Daejeon Hana C.,"Korea, South",K League 1,16/01/2026,€900k,free transfer
10,Samuel Isife,Right-Back,21,Nigeria,Dukla Prague,Czech Republic,Chance Liga,Slavia Praha,Czech Republic,Chance Liga,16/01/2026,€800k,?
10,Filip Sancl,Attacking Midfield,20,Czech Republic,Slavia Praha,Czech Republic,Chance Liga,Banik Ostrava,Czech Republic,Chance Liga,16/01/2026,€600k,?
10,Ryan,Defensive Midfield,22,Brazil,Corinthians,Brazil,Série A,Fortaleza,Brazil,Série B,15/01/2026,€2.50m,loan transfer
10,Rodrigo Becão,Centre-Back,30,Brazil,Fenerbahçe,Türkiye,Süper Lig,Kasimpasa,Türkiye,Süper Lig,15/01/2026,€3.00m,loan transfer
10,Matías Segovia,Right Winger,23,Paraguay,Botafogo,Brazil,Série A,América-MG,Brazil,Série B,15/01/2026,€900k,loan transfer
10,Dixon Vera,Left Winger,22,Ecuador,CS Emelec,Ecuador,LigaPro Serie A,Athletic,Brazil,Série B,15/01/2026,€600k,free transfer
10,Josh Dacres-Cogley,Right-Back,29,England,Bolton,England,League One,Stockport,England,League One,15/01/2026,€550k,?
10,Mathias Jørgensen,Right Winger,25,Denmark,Bodø/Glimt,Norway,Eliteserien,Blackburn,England,Championship,15/01/2026,€2.50m,€4.00m
10,Charalampos Kyriakou,Defensive Midfield,30,Cyprus,FC Dinamo,Romania,SuperLiga,AEK Larnaca,Cyprus,Cyprus League,15/01/2026,€600k,free transfer
10,Breno Lopes,Left Winger,29,Brazil,Fortaleza,Brazil,Série B,Coritiba FC,Brazil,Série A,15/01/2026,€2.50m,€2.40m
10,Owen Goodman,Goalkeeper,22,"Canada, England",Crystal Palace,England,Premier League,Barnsley,England,League One,15/01/2026,€550k,loan transfer
10,Youssef El Motie,Goalkeeper,31,Morocco,Wydad AC,Morocco,Botola Pro Inwi,OC Safi,Morocco,Botola Pro Inwi,15/01/2026,€700k,free transfer
10,Yarlen,Right Winger,19,Brazil,Botafogo,Brazil,Série A,América-MG,Brazil,Série B,15/01/2026,€1.00m,loan transfer
10,Andrew,Goalkeeper,24,Brazil,Gil Vicente,Portugal,Liga Portugal,Flamengo,Brazil,Série A,15/01/2026,€7.00m,€1.50m
10,Cenk Tosun,Centre-Forward,34,"Türkiye, Germany",Fenerbahçe,Türkiye,Süper Lig,Kasimpasa,Türkiye,Süper Lig,15/01/2026,€500k,free transfer
10,Borna Barisic,Left-Back,33,Croatia,Without Club,,,NK Osijek,Croatia,SuperSport HNL,15/01/2026,€600k,-
10,Rareș Pop,Right Winger,20,Romania,FC Rapid 1923,Romania,SuperLiga,Petrolul,Romania,SuperLiga,15/01/2026,€500k,loan transfer
10,Mostafa El Aash,Centre-Back,25,Egypt,Ahly SC,Egypt,Premier League,El Masry,Egypt,Premier League,15/01/2026,€700k,loan transfer
10,Steven Zuber,Attacking Midfield,34,Switzerland,FC Zürich,Switzerland,Super League,Atromitos,Greece,Super League 1,15/01/2026,€800k,free transfer
10,Giacomo Raspadori,Second Striker,25,Italy,Atlético,Spain,LaLiga,Atalanta,Italy,Serie A,15/01/2026,€22.00m,€22.00m
10,David Petrovic,Centre-Back,22,Serbia,Sharjah FC,United Arab Emirates,UAE Pro League,Al-Nasr,United Arab Emirates,UAE Pro League,15/01/2026,€1.00m,free transfer
10,Dominik Yankov,Attacking Midfield,25,"Bulgaria, Canada",HNK Rijeka,Croatia,SuperSport HNL,Loko Sofia,Bulgaria,efbet Liga,15/01/2026,€500k,loan transfer
10,Lyndon Dykes,Centre-Forward,30,"Scotland, Australia",Birmingham,England,Championship,Charlton,England,Championship,15/01/2026,€1.00m,€100k
10,Bali Mumba,Left-Back,24,"England, DR Congo",Plymouth,England,League One,Huddersfield,England,League One,15/01/2026,€2.20m,€1.15m
10,Kelvin Ofori,Right Winger,24,Ghana,Slo. Bratislava,Slovakia,Niké Liga,NK Olimpija,Slovenia,Prva Liga,15/01/2026,€900k,loan transfer
